Cement,Slag,FlyAsh,Water,SP,CoarseAgg,FineAgg,Age,Strength,WC_Ratio
102.0,153.0,0.0,192.0,0.0,887.0,942.0,1,-5.223523902392717,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,2,-2.045121748856616,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,3,4.57,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,4,1.360508748166275,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,5,2.535212640942621,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,6,3.53391172138776,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7,7.68,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,8,5.196555620587798,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,9,5.913286919083198,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,10,6.574647489056897,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,11,7.190716854300042,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,12,7.768958418929257,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,13,8.315025326021061,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,14,8.833320773129305,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,15,9.327341850670829,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,16,9.799903381905311,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,17,10.253324759453113,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,18,10.68949898339353,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,19,11.110054511922245,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,20,11.516326681524845,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,21,11.909511014512564,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,22,12.29057741607265,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,23,12.660409668192711,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,24,13.019766804822385,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,25,13.369331416943977,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,26,13.709684232167373,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,27,14.041344077167079,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,28,17.28,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,29,14.68043951341909,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,30,14.988687732773101,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,31,15.289862932379451,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,32,15.584285678392428,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,33,15.87223937874745,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,34,16.153986896409588,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,35,16.42976755010887,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,36,16.699797754938245,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,37,16.964269333357816,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,38,17.223406525435117,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,39,17.47735324750216,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,40,17.726273505523558,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,41,17.970331773067194,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,42,18.209655848717496,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,43,18.44438929326688,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,44,18.67465405398089,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,45,18.900557043317775,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,46,19.122200302272905,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,47,19.33972347334817,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,48,19.553188006214818,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,49,19.762709249751538,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,50,19.968348200463982,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,51,20.170222464741013,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,52,20.368397779441267,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,53,20.562930523002485,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,54,20.753921224337404,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,55,20.941423251274987,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,56,21.125500427935012,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,57,21.306225116241784,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,58,21.48364243843003,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,59,21.65782165476782,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,60,21.82882789456993,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,61,21.996693784378483,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,62,22.161482288936604,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,63,22.323241209767808,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,64,22.4820203928254,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,65,22.637860570237404,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,66,22.790819923620944,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,67,22.94092467384354,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,68,23.088222601233344,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,69,23.23276603241425,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,70,23.37457737223552,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,71,23.513706585601945,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,72,23.650185335019493,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,73,23.784059642920365,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,74,23.915347805777817,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,75,24.044105354498303,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,76,24.17034700499623,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,77,24.29411518838256,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,78,24.415438279890154,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,79,24.534347699638147,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,80,24.650883715867177,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,81,24.765063098935617,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,82,24.876928669998147,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,83,24.9864959403184,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,84,25.093791346212456,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,85,25.198861723072724,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,86,25.301717214343913,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,87,25.402403625433827,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,88,25.50092057905516,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,89,25.59731875146139,1.8823529411764706
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90,25.46,1.8823529411764706
108.3,162.4,0.0,203.5,0.0,938.2,849.0,1,-7.188055580692691,1.8790397045244691
108.3,162.4,0.0,203.5,0.0,938.2,849.0,2,-4.010343932065151,1.8790397045244691
