Cement,Slag,FlyAsh,Water,SP,CoarseAgg,FineAgg,Age,Strength,WC_Ratio
102,153,0,192,0,887,942,1,0.5,1.882352941
102,153,0,192,0,887,942,2,2.852555125,1.882352941
102,153,0,192,0,887,942,3,4.57,1.882352941
102,153,0,192,0,887,942,4,5.607206325,1.882352941
102,153,0,192,0,887,942,5,6.411104036,1.882352941
102,153,0,192,0,887,942,6,7.071949728,1.882352941
102,153,0,192,0,887,942,7,7.68,1.882352941
102,153,0,192,0,887,942,8,8.287882098,1.882352941
102,153,0,192,0,887,942,9,8.887351069,1.882352941
102,153,0,192,0,887,942,10,9.477355208,1.882352941
102,153,0,192,0,887,942,11,10.05684281,1.882352941
102,153,0,192,0,887,942,12,10.62476217,1.882352941
102,153,0,192,0,887,942,13,11.18006159,1.882352941
102,153,0,192,0,887,942,14,11.72168935,1.882352941
102,153,0,192,0,887,942,15,12.24859376,1.882352941
102,153,0,192,0,887,942,16,12.7597231,1.882352941
102,153,0,192,0,887,942,17,13.25402569,1.882352941
102,153,0,192,0,887,942,18,13.7304498,1.882352941
102,153,0,192,0,887,942,19,14.18794373,1.882352941
102,153,0,192,0,887,942,20,14.62545579,1.882352941
102,153,0,192,0,887,942,21,15.04193426,1.882352941
102,153,0,192,0,887,942,22,15.43632745,1.882352941
102,153,0,192,0,887,942,23,15.80758364,1.882352941
102,153,0,192,0,887,942,24,16.15465113,1.882352941
102,153,0,192,0,887,942,25,16.47647821,1.882352941
102,153,0,192,0,887,942,26,16.77201319,1.882352941
102,153,0,192,0,887,942,27,17.04020435,1.882352941
102,153,0,192,0,887,942,28,17.28,1.882352941
102,153,0,192,0,887,942,29,17.5043552,1.882352941
102,153,0,192,0,887,942,30,17.72688599,1.882352941
102,153,0,192,0,887,942,31,17.94753206,1.882352941
102,153,0,192,0,887,942,32,18.16623314,1.882352941
102,153,0,192,0,887,942,33,18.38292894,1.882352941
102,153,0,192,0,887,942,34,18.59755916,1.882352941
102,153,0,192,0,887,942,35,18.81006354,1.882352941
102,153,0,192,0,887,942,36,19.02038177,1.882352941
102,153,0,192,0,887,942,37,19.22845357,1.882352941
102,153,0,192,0,887,942,38,19.43421866,1.882352941
102,153,0,192,0,887,942,39,19.63761675,1.882352941
102,153,0,192,0,887,942,40,19.83858755,1.882352941
102,153,0,192,0,887,942,41,20.03707077,1.882352941
102,153,0,192,0,887,942,42,20.23300614,1.882352941
102,153,0,192,0,887,942,43,20.42633335,1.882352941
102,153,0,192,0,887,942,44,20.61699213,1.882352941
102,153,0,192,0,887,942,45,20.80492219,1.882352941
102,153,0,192,0,887,942,46,20.99006324,1.882352941
102,153,0,192,0,887,942,47,21.17235499,1.882352941
102,153,0,192,0,887,942,48,21.35173717,1.882352941
102,153,0,192,0,887,942,49,21.52814947,1.882352941
102,153,0,192,0,887,942,50,21.70153163,1.882352941
102,153,0,192,0,887,942,51,21.87182334,1.882352941
102,153,0,192,0,887,942,52,22.03896432,1.882352941
102,153,0,192,0,887,942,53,22.20289428,1.882352941
102,153,0,192,0,887,942,54,22.36355295,1.882352941
102,153,0,192,0,887,942,55,22.52088003,1.882352941
102,153,0,192,0,887,942,56,22.67481523,1.882352941
102,153,0,192,0,887,942,57,22.82529827,1.882352941
102,153,0,192,0,887,942,58,22.97226886,1.882352941
102,153,0,192,0,887,942,59,23.11566672,1.882352941
102,153,0,192,0,887,942,60,23.25543156,1.882352941
